Date,ABB.NS,ESCORTS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS
2022-10-11,3097.62,1975.88,662.98,1264.33,1071.42
2022-10-12,3146.5,2016.88,667.31,1268.68,1079.3
2022-10-13,3164.28,1935.71,659.65,1260.87,1082.73
2022-10-14,3094.96,1902.12,681.13,1309.13,1077.24
2022-10-17,3097.14,1905.56,684.71,1323.07,1094.53
2022-10-18,3111.72,1913.55,683.43,1335.28,1113.84
2022-10-19,3137.59,1927.82,690.44,1319.08,1133.22
2022-10-20,3035.37,1926.42,685.77,1332.8,1136.26
2022-10-21,2946.67,1924.68,680.95,1332.44,1123.08
2022-10-24,2957.86,1920.13,691.57,1347.85,1126.83
2022-10-25,2960.23,1936.78,686.77,1355.35,1109.43
2022-10-27,2944.88,1954.54,688.42,1368.05,1113.79
2022-10-28,2869.98,1932.28,690.46,1358.45,1147.87
2022-10-31,2954.9,1973.08,708.45,1380.35,1158.53
2022-11-01,3054.12,1944.18,716.28,1412.08,1149.55
2022-11-02,3072.24,1942.63,716.73,1394.4,1156.73
2022-11-03,3124.95,1948.64,713.58,1374.16,1161.05
2022-11-04,3119.76,1926.76,708.66,1359.12,1178.13
2022-11-07,3160.89,1894.86,714.17,1353.24,1184.43
2022-11-09,3007.37,1923.86,713.96,1356.61,1183.25
2022-11-10,3068.41,1955.75,721.72,1348.3,1168.93
2022-11-11,3057.7,1920.76,762.62,1409.48,1195.88
2022-11-14,2931.12,1926.47,764.47,1423.13,1190.09
2022-11-15,2933.69,1948.39,766.34,1430.94,1184.75
2022-11-16,2941.24,1951.93,772.92,1438.84,1177.95
2022-11-17,3025.1,1950.86,765.93,1425.01,1181.0
2022-11-18,2996.47,1965.82,763.92,1430.4,1180.36
2022-11-21,2987.07,2125.73,756.09,1407.78,1159.12
2022-11-22,2964.3,2141.46,754.98,1422.9,1165.55
2022-11-23,3002.91,2142.71,756.94,1421.2,1161.91
2022-11-24,3027.77,2115.42,769.25,1463.07,1171.93
2022-11-25,2994.73,2215.07,765.7,1468.33,1189.43
2022-11-28,3006.84,2196.1,757.46,1457.33,1230.3
2022-11-29,2921.43,2189.81,756.32,1462.4,1232.41
2022-11-30,2907.38,2213.28,761.34,1467.7,1241.11
2022-12-01,2900.74,2271.46,766.57,1487.58,1237.46
2022-12-02,2885.48,2249.39,760.7,1470.35,1236.93
2022-12-05,2883.06,2248.13,763.47,1472.01,1218.89
2022-12-06,2852.54,2224.41,762.62,1447.9,1222.42
2022-12-07,2876.71,2213.96,762.29,1441.26,1204.38
2022-12-08,2895.41,2216.14,766.57,1454.41,1203.81
2022-12-09,2884.08,2212.94,772.04,1408.76,1185.56
2022-12-12,2898.37,2201.62,778.05,1388.92,1187.38
2022-12-13,2900.06,2145.91,780.2,1411.32,1192.79
2022-12-14,2913.19,2124.57,786.81,1417.83,1188.47
2022-12-15,2839.07,2137.15,772.39,1382.91,1171.59
2022-12-16,2750.22,2107.04,776.11,1366.48,1165.8
